usia,qx,lx,dx,Dx,Cx,Nx,Mx
5,0.000234,100000,23.4,74725.81729,16.49607665,1296842.71,1319.626164
6,0.000193,99976.6,19.2954838,70479.55797,12.83259876,1222116.893,1303.130087
7,0.000162,99957.30452,16.19308333,66477.31643,10.15974081,1151637.335,1290.297488
8,0.000143,99941.11143,14.29157893,62704.28972,8.459163613,1085160.018,1280.137748
9,0.000134,99926.81985,13.39019386,59146.53114,7.477014314,1022455.728,1271.678584
10,0.000132,99913.42966,13.18857272,55791.13727,6.947575584,963309.1973,1264.20157
11,0.000143,99900.24109,14.28573448,52626.20079,7.099572371,907518.06,1257.253994
12,0.000155,99885.95535,15.48232308,49640.25966,7.258717215,854891.8592,1250.154422
13,0.000167,99870.47303,16.678369,46823.17493,7.376858691,805251.5996,1242.895704
14,0.00018,99853.79466,17.97368304,44165.42968,7.499789945,758428.4247,1235.518846
15,0.000193,99835.82098,19.26831345,41657.9999,7.584899982,714262.995,1228.019056
16,0.000205,99816.55266,20.4623933,39292.41501,7.59900479,672604.9951,1220.434156
17,0.000218,99796.09027,21.75554768,37060.71704,7.621921052,633312.5801,1212.835151
18,0.000231,99774.33472,23.04787132,34955.31868,7.617621336,596251.863,1205.21323
19,0.000245,99751.28685,24.43906528,32969.09812,7.620216075,561296.5443,1197.595609
20,0.00026,99726.84779,25.92898042,31095.30254,7.627149679,528327.4462,1189.975393
21,0.000275,99700.91881,27.41775267,29327.56392,7.608566112,497232.1437,1182.348243
22,0.000292,99673.50105,29.10466231,27659.90457,7.619520881,467904.5798,1174.739677
23,0.000309,99644.39639,30.79011848,26086.63007,7.604498766,440244.6752,1167.120156
24,0.000327,99613.60627,32.57364925,24602.42387,7.589615666,414158.0451,1159.515657
25,0.000347,99581.03262,34.55461832,23202.24423,7.595451647,389555.6213,1151.926041
26,0.000368,99546.47801,36.63310391,21881.3142,7.596531721,366353.377,1144.33059
27,0.00039,99509.8449,38.80883951,20635.15271,7.592178827,344472.0628,1136.734058
28,0.000414,99471.03606,41.18100893,19459.53302,7.600232707,323836.9101,1129.141879
29,0.00044,99429.85505,43.74913622,18350.44978,7.617167835,304377.3771,1121.541647
30,0.000469,99386.10592,46.61208367,17304.12791,7.656260369,286026.9273,1113.924479
31,0.000499,99339.49383,49.57040742,16316.99271,7.681301287,268722.7994,1106.268218
32,0.000533,99289.92343,52.92152919,15385.70805,7.736398482,252405.8067,1098.586917
