usia,qx,lx,dx,Dx,Cx,Nx,Mx
5,0.000456,100000,45.6,74725.81729,32.14620064,1283918.292,2051.196957
6,0.000424,99954.4,42.3806656,70463.90784,28.18556314,1209192.475,2019.050757
7,0.000403,99912.01933,40.26454379,66447.19919,25.2624729,1138728.567,1990.865193
8,0.000392,99871.75479,39.14972788,62660.7745,23.17266378,1072281.368,1965.602721
9,0.000389,99832.60506,38.83488337,59090.76555,21.68519604,1009620.594,1942.430057
10,0.00039,99793.77018,38.91957037,55724.32004,20.50234416,950529.8281,1920.744861
11,0.000397,99754.85061,39.60267569,52549.6109,19.68131653,894805.5081,1900.242517
12,0.000405,99715.24793,40.38467541,49555.4233,18.93391173,842255.8972,1880.5612
13,0.000413,99674.86326,41.16571853,46731.46543,18.207637,792700.4739,1861.627288
14,0.000422,99633.69754,42.04542036,44068.08051,17.54408488,745969.0084,1843.419651
15,0.000433,99591.65212,43.12318537,41556.11677,16.97528166,701900.9279,1825.875566
16,0.000444,99548.52893,44.19954685,39186.90846,16.41413902,660344.8112,1808.900285
17,0.000457,99504.32939,45.47347853,36952.36743,15.93135086,621157.9027,1792.486146
18,0.000471,99458.85591,46.84512113,34844.79264,15.48292201,584205.5353,1776.554795
19,0.000486,99412.01079,48.31423724,32856.96297,15.06460755,549360.7426,1761.071873
20,0.000503,99363.69655,49.97993936,30982.07027,14.70186919,516503.7797,1746.007265
21,0.000522,99313.71661,51.84176007,29213.66631,14.38635265,485521.7094,1731.305396
22,0.000544,99261.87485,53.99845992,27545.6762,14.13664892,456308.0431,1716.919043
23,0.000566,99207.87639,56.15165804,25972.35033,13.86825499,428762.3669,1702.782395
24,0.000591,99151.72473,58.59866932,24488.34904,13.6534097,402790.0166,1688.91414
25,0.000619,99093.12606,61.33864503,23088.56267,13.48284933,378301.6675,1675.26073
26,0.00065,99031.78742,64.37066182,21768.18004,13.34841229,355213.1049,1661.777881
27,0.000684,98967.41676,67.69371306,20522.6705,13.24293077,333444.9248,1648.429468
28,0.000722,98899.72304,71.40560004,19347.76697,13.17838467,312922.2543,1635.186537
29,0.000763,98828.31744,75.40600621,18239.43196,13.12894961,293574.4873,1622.008153
30,0.000809,98752.91144,79.89110535,17193.88234,13.12250077,275335.0554,1608.879203
31,0.00086,98673.02033,84.85879749,16207.52121,13.14949834,258141.173,1595.756702
32,0.000916,98588.16153,90.30675597,15276.96485,13.20160359,241933.6518,1582.607204
33,0.000978,98497.85478,96.33090197,14399.02939,13.28514221,226656.687,1569.405601
34,0.001046,98401.52388,102.927994,13570.70485,13.39146913,212257.6576,1556.120458
35,0.001122,98298.59588,110.2910246,12789.16028,13.5372055,198686.9527,1542.728989
36,0.001204,98188.30486,118.218719,12051.70834,13.68892155,185897.7925,1529.191784
37,0.001295,98070.08614,127.0007615,11355.84725,13.87341715,173846.0841,1515.502862
38,0.001397,97943.08538,136.8264903,10699.19002,14.10072496,162490.2369,1501.629445
39,0.001509,97806.25889,147.5896447,10079.47477,14.34898814,151791.0469,1487.52872
40,0.001633,97658.66924,159.4766069,9494.589472,14.62704208,141711.5721,1473.179732
41,0.001789,97499.19264,174.4260556,8942.532838,15.09263325,132216.9826,1458.55269
