usia,qx,lx,dx,Dx,Cx,Nx,Mx
0,0.00524,100000,524,100000,494.3396226,1726327.605,2283.343139
1,0.00053,99476,52.72228,93845.28302,46.92264151,1626327.605,1789.003517
2,0.00042,99423.27772,41.75777664,88486.36323,35.06063449,1532482.322,1742.080875
3,0.00034,99381.51994,33.78971678,83442.64052,26.76462054,1443995.958,1707.020241
4,0.00029,99347.73023,28.81084177,78692.70757,21.52913698,1360553.318,1680.25562
5,0.00026,99318.91938,25.82291904,74216.87423,18.20413896,1281860.61,1658.726483
6,0.00023,99293.09647,22.83741219,69997.71495,15.18818343,1207643.736,1640.522344
7,0.00021,99270.25905,20.8467544,66020.39195,13.07951161,1137646.021,1625.334161
8,0.0002,99249.4123,19.84988246,62270.30912,11.74911493,1071625.629,1612.254649
9,0.0002,99229.56242,19.84591248,58733.82553,11.08185387,1009355.32,1600.505534
10,0.00019,99209.7165,18.84984614,55398.18752,9.9298638,950621.4944,1589.42368
11,0.00019,99190.86666,18.84626467,52252.51119,9.366016156,895223.3069,1579.493816
12,0.00019,99172.02039,18.84268387,49285.45586,8.834185484,842970.7957,1570.1278
13,0.0002,99153.17771,19.83063554,46486.87889,8.771109224,793685.3399,1561.293615
14,0.00023,99133.34707,22.80066983,43846.77501,9.51392288,747198.461,1552.522506
15,0.00027,99110.5464,26.75984753,41355.36816,10.53391453,703351.686,1543.008583
16,0.00031,99083.78656,30.71597383,39003.96435,11.40681976,661996.3178,1532.474668
17,0.00037,99053.07058,36.64963612,36784.78597,12.83997246,622992.3534,1521.067848
18,0.00043,99016.42095,42.57706101,34689.7883,14.07227261,586207.5675,1508.227876
19,0.00047,98973.84389,46.51770663,32712.1431,14.50444081,551517.7792,1494.155603
20,0.00049,98927.32618,48.47438983,30846.00792,14.25900366,518805.6361,1479.651163
21,0.00049,98878.85179,48.45063738,29085.74847,13.44529882,487959.6281,1465.392159
22,0.00049,98830.40115,48.42689656,27425.94005,12.67802889,458873.8797,1451.94686
23,0.00049,98781.97426,48.40316739,25860.85032,11.95454402,431447.9396,1439.268831
24,0.0005,98733.57109,49.36678554,24385.07406,11.50239342,405587.0893,1427.314287
25,0.00052,98684.2043,51.31578624,22993.28445,11.27972445,381202.0152,1415.811894
26,0.00055,98632.88852,54.24808868,21680.49806,11.24931503,358208.7308,1404.532169
27,0.0006,98578.64043,59.14718426,20442.05074,11.57097212,336528.2327,1393.282854
28,0.00065,98519.49324,64.03767061,19273.38256,11.81858365,316086.182,1381.711882
29,0.0007,98455.45557,68.9188189,18170.61779,11.99946458,296812.7994,1369.893298
30,0.00075,98386.53675,73.78990257,17130.09279,12.12034868,278642.1816,1357.893834
31,0.00081,98312.74685,79.63332495,16148.34455,12.33977272,261512.0888,1345.773485
32,0.00087,98233.11353,85.46280877,15221.94754,12.49348524,245363.7443,1333.433713
33,0.00093,98147.65072,91.27731517,14347.83438,12.58819432,230141.7967,1320.940227
34,0.00099,98056.3734,97.07580967,13523.10462,12.63006941,215793.9624,1308.352033
35,0.00107,97959.29759,104.8164484,12745.0158,12.8652518,202270.8577,1295.721964
36,0.00116,97854.48114,113.5111981,12010.73456,13.14382272,189525.8419,1282.856712
37,0.00127,97740.96995,124.1310318,11317.73784,13.55993118,177515.1074,1269.712889
38,0.00139,97616.83891,135.6874061,10663.55123,13.98333605,166197.3696,1256.152958
39,0.00155,97481.15151,151.0957848,10045.97066,14.68986276,155533.8183,1242.169622
40,0.00173,97330.05572,168.3809964,9462.640947,15.44374419,145487.8477,1227.479759
41,0.00193,97161.67473,187.5220322,8911.576017,16.22579407,136025.2067,1212.036015
42,0.00216,96974.15269,209.4641698,8390.921392,17.09848133,127113.6307,1195.810221
43,0.00241,96764.68852,233.2028993,7898.865096,17.95874045,118722.7093,1178.711739
44,0.0027,96531.48563,260.6350112,7433.800784,18.93515294,110823.8442,1160.752999
45,0.00302,96270.85061,290.7379689,6994.084455,19.9265425,103390.0434,1141.817846
46,0.00338,95980.11265,324.4127807,6578.266339,20.97598135,96395.95897,1121.891304
